"BU_NAME","IMPEXP_TYPR","CONTAINER_NUM","SHIPPING_LINE_OPERATOR","VESSEL","VOYAGE_NUM","ARRIVAL_DATE","DEPARTURE_DATE","ORIGIN_COUNTRY","PORT_OF_LANDING","DESTINATION_COUNTRY","PORT_OF_UNLADING","TEU","GOODS_VALUE_USD","NOTIFIER_NAME","CONSIGNEE_NAME","SHIPPER_NAME","ITEM_DESCRIPTION","BL_NO"
"NEPTUNIA","Import","MRKU3144134","MAERSK SHIPPING LINE","CHARLOTTE MAERSK","928W","20190714","20190715","","Tianjinxingang , China","","Callao , Peru",2,"","","","","","MAEU969013824"
"NEPTUNIA","Import","MRKU2717252","MAERSK SHIPPING LINE","CHARLOTTE MAERSK","928W","20190714","20190715","","Tianjinxingang , China","","Callao , Peru",2,"","","","","","MAEU969013824"
"NEPTUNIA","Import","HLXU8258890","HAPAG LLOYD CORPORATION","MSC LAUREN","924A","20190720","20190721","","Shanghai , China","","Callao , Peru",2,"","","OPP FILM S.A.","","500 MT OF HOMOPOLYMERBOPP PPH-F03DPACKING EXPORT WORTHYBAGS PALLETIZED  INTO CONTAINERSOF 20 O","HLCUSHA1906JKWJ8"
"NEPTUNIA","Import","HLXU8216298","HAPAG LLOYD CORPORATION","MSC LAUREN","924A","20190720","20190721","","Shanghai , China","","Callao , Peru",2,"","","OPP FILM S.A.","","500 MT OF HOMOPOLYMERBOPP PPH-F03DPACKING EXPORT WORTHYBAGS PALLETIZED  INTO CONTAINERSOF 20 O","HLCUSHA1906JKWJ8"
"NEPTUNIA","Import","HLXU6493539","HAPAG LLOYD CORPORATION","MSC LAUREN","924A","20190720","20190721","","Shanghai , China","","Callao , Peru",2,"","","OPP FILM S.A.","","500 MT OF HOMOPOLYMERBOPP PPH-F03DPACKING EXPORT WORTHYBAGS PALLETIZED  INTO CONTAINERSOF 20 O","HLCUSHA1906JKWJ8"
"NEPTUNIA","Import","HLXU6388024","HAPAG LLOYD CORPORATION","MSC LAUREN","924A","20190720","20190721","","Shanghai , China","","Callao , Peru",2,"","","OPP FILM S.A.","","500 MT OF HOMOPOLYMERBOPP PPH-F03DPACKING EXPORT WORTHYBAGS PALLETIZED  INTO CONTAINERSOF 20 O","HLCUSHA1906JKWJ8"
"NEPTUNIA","Import","HLBU1584259","HAPAG LLOYD CORPORATION","MSC LAUREN","924A","20190720","20190721","","Shanghai , China","","Callao , Peru",2,"","","OPP FILM S.A.","","500 MT OF HOMOPOLYMERBOPP PPH-F03DPACKING EXPORT WORTHYBAGS PALLETIZED  INTO CONTAINERSOF 20 O","HLCUSHA1906JKWJ8"
"NEPTUNIA","Import","HLBU1362014","HAPAG LLOYD CORPORATION","MSC LAUREN","924A","20190720","20190721","","Shanghai , China","","Callao , Peru",2,"","","OPP FILM S.A.","","500 MT OF HOMOPOLYMERBOPP PPH-F03DPACKING EXPORT WORTHYBAGS PALLETIZED  INTO CONTAINERSOF 20 O","HLCUSHA1906JKWJ8"
"NEPTUNIA","Import","HAMU1318238","HAPAG LLOYD CORPORATION","MSC LAUREN","924A","20190720","20190721","","Shanghai , China","","Callao , Peru",2,"","","OPP FILM S.A.","","500 MT OF HOMOPOLYMERBOPP PPH-F03DPACKING EXPORT WORTHYBAGS PALLETIZED  INTO CONTAINERSOF 20 O","HLCUSHA1906JKWJ8"
"NEPTUNIA","Import","GLDU7715305","HAPAG LLOYD CORPORATION","MSC LAUREN","924A","20190720","20190721","","Shanghai , China","","Callao , Peru",2,"","","OPP FILM S.A.","","500 MT OF HOMOPOLYMERBOPP PPH-F03DPACKING EXPORT WORTHYBAGS PALLETIZED  INTO CONTAINERSOF 20 O","HLCUSHA1906JKWJ8"
