"BU_NAME","IMPEXP_TYPR","CONTAINER_NUM","SHIPPING_LINE_OPERATOR","VESSEL","VOYAGE_NUM","ARRIVAL_DATE","DEPARTURE_DATE","ORIGIN_COUNTRY","PORT_OF_LANDING","DESTINATION_COUNTRY","PORT_OF_UNLADING","TEU","GOODS_VALUE_USD","NOTIFIER_NAME","CONSIGNEE_NAME","SHIPPER_NAME","ITEM_DESCRIPTION","BL_NO"
"NEPTUNIA","Export","HLXU3541227","HAPAG LLOYD CORPORATION","MSC SHUBA B","936R","20190918","20190919","","Callao , Peru","","Shanghai , China",1,"","","","INKABOR S.A.C.","ACIDO BORICO TQ",""
"NEPTUNIA","Export","BMOU2729396","HAPAG LLOYD CORPORATION","MSC SHUBA B","936R","20190918","20190919","","Callao , Peru","","Shanghai , China",1,"","","","INKABOR S.A.C.","ACIDO BORICO TQ",""
"NEPTUNIA","Export","GESU3909097","HAPAG LLOYD CORPORATION","MSC SHUBA B","936R","20190918","20190919","","Callao , Peru","","Shanghai , China",1,"","","","INKABOR S.A.C.","ACIDO BORICO TQ",""
"NEPTUNIA","Export","PCIU8739070","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8673369","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8695809","PACIFIC INTERNATIONAL LINE","LLOYD DON GIOVANNI","007W","20190918","20190919","","Callao , Peru","","Yantian , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8296033","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8334642","PACIFIC INTERNATIONAL LINE","LLOYD DON GIOVANNI","007W","20190918","20190919","","Callao , Peru","","Yantian , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU9502376","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","GLDU9654364","PACIFIC INTERNATIONAL LINE","EVER LIVELY","037W","20190904","20190905","","Callao , Peru","","Yantian , China",1,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","SEGU6032025","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
