BU_NAME	IMPEXP_TYPR	CONTAINER_NUM	SHIPPING_LINE_OPERATOR	VESSEL	VOYAGE_NUM	ARRIVAL_DATE	DEPARTURE_DATE	ORIGIN_COUNTRY	PORT_OF_LANDING	DESTINATION_COUNTRY	PORT_OF_UNLADING	TEU	GOODS_VALUE_USD	NOTIFIER_NAME	CONSIGNEE_NAME	SHIPPER_NAME	ITEM_DESCRIPTION	BL_NO
NEPTUNIA	Export	MEDU6944741	MEDITERRANEAN SHIPPING COMPANY	MSC BIANCA	NX938R	20190925	20190926		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ALCACHOFA EN CONSERVA	
NEPTUNIA	Export	TEMU1035100	CMA-CGM	CMA CGM JEAN GABRIEL	0WC44N1MA	20190923	20190925		Callao , Peru		Bilbao , Spain	1				GREEN PERU S.A	PIMIENTO MARRON	
NEPTUNIA	Export	TCLU7676886	CMA-CGM	CMA CGM JEAN GABRIEL	0WC44N1MA	20190923	20190925		Callao , Peru		Bilbao , Spain	1				GREEN PERU S.A	PIMIENTO MARRON	
NEPTUNIA	Export	SEGU2874977	MEDITERRANEAN SHIPPING COMPANY	MSC BIANCA	NX938R	20190925	20190926		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ESPARRAGO VERDE	
NEPTUNIA	Export	TTNU1046811	MEDITERRANEAN SHIPPING COMPANY	MSC BIANCA	NX938R	20190925	20190926		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ESPARRAGO VERDE	
NEPTUNIA	Export	TEMU1260055	APL	CMA CGM JEAN GABRIEL	0WC44N1MA	20190923	20190925		Callao , Peru		Bilbao , Spain	1				GREEN PERU S.A	PIMIENTO MARRON	
NEPTUNIA	Export	CMAU0622307	CMA-CGM	CMA CGM JEAN GABRIEL	0WC44N1MA	20190923	20190925		Callao , Peru		Bilbao , Spain	1				GREEN PERU S.A	PIMIENTO MARRON	
NEPTUNIA	Export	FCIU6364566	MEDITERRANEAN SHIPPING COMPANY	MSC BIANCA	NX938R	20190925	20190926		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ESPARRAGO VERDE	
NEPTUNIA	Export	MEDU5296773	MEDITERRANEAN SHIPPING COMPANY	MSC BIANCA	NX938R	20190925	20190926		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ESPARRAGO VERDE	
NEPTUNIA	Export	MAGU2523577	APL	CMA CGM JEAN GABRIEL	0WC44N1MA	20190923	20190925		Callao , Peru		Bilbao , Spain	1				GREEN PERU S.A	PIMIENTO MARRON	
NEPTUNIA	Export	TCLU3927725	CMA-CGM	CMA CGM JEAN GABRIEL	0WC44N1MA	20190923	20190925		Callao , Peru		Bilbao , Spain	1				GREEN PERU S.A	PIMIENTO MARRON	
NEPTUNIA	Export	TRHU3386257	CMA-CGM	CMA CGM JEAN GABRIEL	0WC44N1MA	20190923	20190925		Callao , Peru		Bilbao , Spain	1				GREEN PERU S.A	PIMIENTO MARRON	
NEPTUNIA	Export	MEDU5093565	MEDITERRANEAN SHIPPING COMPANY	MSC BIANCA	NX938R	20190925	20190926		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ALIMENTOS EN CONSERVA	
NEPTUNIA	Export	FCIU6163812	APL	CMA CGM JEAN GABRIEL	0WC44N1MA	20190923	20190925		Callao , Peru		Bilbao , Spain	1				GREEN PERU S.A	PIMIENTO MARRON	
NEPTUNIA	Export	FCIU5978430	MEDITERRANEAN SHIPPING COMPANY	MSC BIANCA	NX938R	20190925	20190926		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ALMENTOS EN CONSERVA	
NEPTUNIA	Export	TRHU3548194	MEDITERRANEAN SHIPPING COMPANY	MSC BIANCA	NX938R	20190925	20190926		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ALMENTOS EN CONSERVA	
NEPTUNIA	Export	TGHU1271200	CMA-CGM	CMA CGM JEAN GABRIEL	0WC44N1MA	20190923	20190925		Callao , Peru		Bilbao , Spain	1				GREEN PERU S.A	PIMIENTO MARRON	
NEPTUNIA	Export	TRHU3891881	APL	CMA CGM JEAN GABRIEL	0WC44N1MA	20190923	20190925		Callao , Peru		Bilbao , Spain	1				GREEN PERU S.A	PIMIENTO MARRON	
NEPTUNIA	Export	APZU3218187	CMA-CGM	CMA CGM JEAN GABRIEL	0WC44N1MA	20190923	20190925		Callao , Peru		Bilbao , Spain	1				GREEN PERU S.A	PIMIENTO MARRON	
NEPTUNIA	Export	APZU3864187	CMA-CGM	CMA CGM JEAN GABRIEL	0WC44N1MA	20190923	20190925		Callao , Peru		Bilbao , Spain	1				GREEN PERU S.A	PIMIENTO MARRON	
NEPTUNIA	Export	BEAU2968499	MEDITERRANEAN SHIPPING COMPANY	MSC BIANCA	NX938R	20190925	20190926		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ALIMENTOS EN CONSERVAS	
NEPTUNIA	Export	CAIU6436821	MEDITERRANEAN SHIPPING COMPANY	MSC EARTH	936R	20190917	20190918		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ALCACHOFAS EN CONSERVA	
NEPTUNIA	Export	TRHU2271588	MEDITERRANEAN SHIPPING COMPANY	MSC BIANCA	NX938R	20190925	20190926		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ALIMENTOS EN CONSERVA	
NEPTUNIA	Export	MEDU5081369	MEDITERRANEAN SHIPPING COMPANY	MSC EARTH	936R	20190917	20190918		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ALCACHOFAS EN CONSERVA	
NEPTUNIA	Export	GLDU5611385	MEDITERRANEAN SHIPPING COMPANY	MSC BIANCA	NX938R	20190925	20190926		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ALIMENTOS EN CONSERVA	
NEPTUNIA	Export	FBIU0112523	MEDITERRANEAN SHIPPING COMPANY	MSC BIANCA	NX938R	20190925	20190926		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ESPARRAGO VERDE	
NEPTUNIA	Export	TTNU1016735	MEDITERRANEAN SHIPPING COMPANY	MSC BIANCA	NX938R	20190925	20190926		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ALIMENTOS EN CONSERVA	
NEPTUNIA	Export	PHLU2041677	MEDITERRANEAN SHIPPING COMPANY	MSC BIANCA	NX938R	20190925	20190926		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ALIMENTOS EN CONSERVAS	
NEPTUNIA	Export	MEDU5200067	MEDITERRANEAN SHIPPING COMPANY	MSC REGULUS	NX936R	20190910	20190911		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	CONSERVAS	
NEPTUNIA	Export	FBIU0386340	MEDITERRANEAN SHIPPING COMPANY	MSC REGULUS	NX936R	20190910	20190911		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	CONSERVAS	
NEPTUNIA	Export	SEGU2937951	MEDITERRANEAN SHIPPING COMPANY	MSC REGULUS	NX936R	20190910	20190911		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	CONSERVAS	
NEPTUNIA	Export	MEDU6952665	MEDITERRANEAN SHIPPING COMPANY	MSC EARTH	936R	20190917	20190918		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ALIMENTOS EN CONSERVA	
NEPTUNIA	Export	MEDU3879431	MEDITERRANEAN SHIPPING COMPANY	MSC EARTH	936R	20190917	20190918		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ALIMENTOS EN CONSERVA	
